Abelian group,आबेली समूह,आबेल गट
extreme point of convex set,अवमुख समुच्चय का चरम बिंदु,बहिर्वक्र संचाचा अत्यंत बिंदू
extremum of a function,फलन का चरम मान,फलाचे चरम मूल्य
extremum property,चरम गुणधर्म,चरम गुणधर्म
face,"1. फलक, पार्श्व 2. अंताग्र",फलक
face value,अंकित मूल्य,दर्शनी मूल्य
factor,"1. घटक, उपादान, कारक 2. खंड,","गुणनखंड, गुणक अवयव"
factor analysis,उपादान विश्लेषण,"अवयव विश्लेषण, घटक विश्लेषण"
factored,खंडित,खंडित
factorial,क्रमगुणित,क्रमगुणाकार
factorial design,बहु-उपादानी अभिकल्पना,बहुआयामी आराखडा
factorization,गुणनखंडन,अवयव पाडणे
factorise,गुणनखंड करना,अवयव पाडा
fair game,न्याय्य खेल,न्याय खेळ
FALSE,"आभासी, मिथ्या, कूट",असत्य
